#,Time,Asset,Side,Quantity,Price,Status,Confidence,Strategy
1,04:36:29,BTC,BUY,0.00071681,69769.92,OPEN,63.3%,HybridAlpha_v6.5
2,04:36:41,ETH,BUY,0.02459402,2033.50,OPEN,63.3%,HybridAlpha_v6.5
3,04:36:58,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
4,04:37:33,BTC,BUY,0.00071696,69755.88,OPEN,63.3%,HybridAlpha_v6.5
5,04:37:36,ETH,BUY,0.02459777,2033.19,OPEN,63.3%,HybridAlpha_v6.5
6,04:37:39,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
7,04:38:13,BTC,BUY,0.00071711,69740.62,OPEN,63.3%,HybridAlpha_v6.5
8,04:38:19,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
9,04:39:31,BTC,SELL,0.00071721,69731.21,OPEN,43.3%,HybridAlpha_v6.5
10,04:39:54,ETH,SELL,0.02459668,2033.28,OPEN,43.3%,HybridAlpha_v6.5
11,04:40:11,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
12,04:40:46,BTC,BUY,0.00071642,69807.99,OPEN,53.3%,HybridAlpha_v6.5
13,04:40:49,ETH,SELL,0.02457976,2034.68,OPEN,43.3%,HybridAlpha_v6.5
14,04:40:51,AAVE,BUY,0.45015251,111.10,OPEN,63.3%,HybridAlpha_v6.5
15,04:41:25,BTC,SELL,0.00071680,69771.47,OPEN,43.3%,HybridAlpha_v6.5
16,04:41:32,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
17,04:42:17,BTC,SELL,0.00071678,69772.90,OPEN,43.3%,HybridAlpha_v6.5
18,04:42:32,ETH,SELL,0.02460189,2032.85,OPEN,43.3%,HybridAlpha_v6.5
19,04:42:44,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
20,04:43:19,BTC,SELL,0.00071628,69821.99,OPEN,43.3%,HybridAlpha_v6.5
21,04:43:26,ETH,SELL,0.02458943,2033.88,OPEN,43.3%,HybridAlpha_v6.5
22,04:43:32,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
23,04:44:09,BTC,SELL,0.00071659,69791.75,OPEN,43.3%,HybridAlpha_v6.5
24,04:44:11,ETH,SELL,0.02459330,2033.56,OPEN,43.3%,HybridAlpha_v6.5
25,04:44:15,AAVE,SELL,0.45015251,111.10,OPEN,43.3%,HybridAlpha_v6.5
26,04:44:58,BTC,SELL,0.00071623,69826.91,OPEN,43.3%,HybridAlpha_v6.5
27,04:45:12,ETH,SELL,0.02458375,2034.35,OPEN,43.3%,HybridAlpha_v6.5
