feature,importance
Column_18,11894.711040258408
Column_33,5631.693680047989
Column_15,4897.973473310471
Column_26,4776.00263106823
Column_14,4711.884515047073
Column_17,4201.752160191536
Column_36,3850.64920848608
Column_7,3538.5962666273117
Column_16,2987.9268766641617
Column_25,2524.495879292488
Column_0,2250.6381928920746
Column_9,1995.5322165489197
Column_10,1772.5338982343674
Column_27,1769.5873517990112
Column_32,1755.6983791291714
Column_8,1743.3073990345001
Column_24,1678.8934508562088
Column_37,1466.24522793293
Column_3,1411.2375901937485
Column_21,1240.2939880490303
Column_6,1219.2214367985725
Column_31,1182.963063955307
Column_4,1176.3332681059837
Column_30,1138.2007095813751
Column_11,1036.180023908615
Column_1,994.8060088157654
Column_29,974.3291084766388
Column_35,888.619050860405
Column_2,833.4002861976624
Column_34,829.7823892831802
Column_13,803.5554732084274
Column_22,782.2127100229263
Column_19,658.9892191886902
Column_28,653.9864000082016
Column_20,619.611175507307
Column_5,598.6114695072174
Column_12,565.9605582952499
Column_23,54.72465991973877
