feature,importance
Column_26,18005.634009569883
Column_15,15241.853105109069
Column_16,14592.369427889585
Column_17,14038.88027241826
Column_25,13620.470650099218
Column_32,13503.829437747598
Column_18,13253.438242119446
Column_7,12680.004139602184
Column_14,11919.312409639359
Column_27,11801.737328357995
Column_21,11120.581414178014
Column_9,9908.314338713884
Column_5,9424.021051585674
Column_24,9168.43131376803
Column_13,8957.487390816212
Column_31,8648.158298321068
Column_10,8603.187088154256
Column_20,8393.955486215651
Column_33,8365.025599196553
Column_36,8330.892683826387
Column_3,8212.817692995071
Column_35,8212.47925459966
Column_19,8058.0485927686095
Column_8,8035.274661280215
Column_1,8010.7390955761075
Column_30,7658.690472356975
Column_6,7572.61067520082
Column_12,7473.714959263802
Column_0,7295.988616138697
Column_28,6666.028634056449
Column_37,6223.740071728826
Column_2,6128.200569808483
Column_29,6089.662953034043
Column_22,5822.623750239611
Column_4,5129.87739456445
Column_11,4461.30598898232
Column_34,3943.7822682112455
Column_23,494.25537717342377
