feature,importance
Column_18,20703.287446065806
Column_33,8490.992225646973
Column_15,4660.296793371439
Column_17,4537.963487148285
Column_26,4141.8634196817875
Column_36,3344.425941169262
Column_4,3131.209755629301
Column_6,3031.6982733011246
Column_16,2536.2587359547615
Column_14,2358.792647123337
Column_32,2353.732462286949
Column_21,2006.4145195484161
Column_37,1775.6140559911728
Column_25,1758.8303379416466
Column_9,1654.2360776662827
Column_7,1605.8516720086336
Column_27,1460.8514970541
Column_0,1254.0641555786133
Column_8,1174.7191029787064
Column_5,1087.079379081726
Column_31,999.2666765451431
Column_24,955.5711053609848
Column_2,934.2559543251991
Column_10,868.1269587278366
Column_19,759.0669719278812
Column_30,748.2415905594826
Column_20,688.9534366428852
Column_29,682.6053729057312
Column_11,680.3608776032925
Column_34,671.8065038919449
Column_28,667.6025056838989
Column_35,660.2554596662521
Column_13,633.3173190355301
Column_22,609.7452619671822
Column_12,602.320437669754
Column_3,546.6506816148758
Column_1,512.446102425456
Column_23,67.60028064250946
