feature,importance
Column_26,5294.427007753402
Column_15,4492.612481095595
Column_7,4236.490790226497
Column_17,4111.409002315253
Column_32,4104.148889584001
Column_14,4083.4820838007145
Column_16,3687.3441483415663
Column_9,3347.6067736381665
Column_21,3339.6850413046777
Column_27,3300.7165690331312
Column_25,3159.831293365918
Column_18,3128.142963323975
Column_10,2824.4364899024367
Column_5,2778.377527648583
Column_20,2777.3506437800825
Column_6,2757.8477728180587
Column_19,2716.733560381457
Column_31,2713.240263270214
Column_13,2660.294658566825
Column_8,2637.2585424780846
Column_24,2612.2203416656703
Column_33,2548.351205609739
Column_1,2481.857908755541
Column_3,2275.210378734395
Column_30,2261.3909378796816
Column_0,2198.963064584881
Column_2,1888.3268070211634
Column_12,1803.9693963080645
Column_35,1788.3722018054686
Column_22,1772.9221926657483
Column_28,1659.9389209293295
Column_37,1634.8455155733973
Column_29,1584.462044679094
Column_4,1529.9444014783949
Column_11,1461.327920909971
Column_34,981.8359439782798
Column_36,774.2132063657045
Column_23,229.95162047445774
