feature,importance
Column_18,14547.91867607832
Column_15,4424.5024226903915
Column_17,3958.5778188705444
Column_26,3638.2241300344467
Column_36,3074.9040861725807
Column_7,2524.6056614518166
Column_33,2344.870848238468
Column_25,1985.099313378334
Column_16,1731.6328318715096
Column_6,1633.6546971797943
Column_21,1577.586867749691
Column_32,1558.8030645251274
Column_14,1500.1318920850754
Column_9,1477.5525543689728
Column_5,1421.5896453857422
Column_4,1357.583057999611
Column_10,1294.7615742087364
Column_0,1286.0682429671288
Column_37,1192.5755035281181
Column_27,1146.631724536419
Column_31,1146.2156795859337
Column_8,1104.9323146939278
Column_24,1082.3136274814606
Column_3,1057.401535987854
Column_13,965.4644967913628
Column_19,950.069092810154
Column_1,941.4629899263382
Column_12,927.2585532665253
Column_30,910.1781597733498
Column_20,859.1014384031296
Column_2,847.1282477974892
Column_22,741.4267198443413
Column_28,671.1813116073608
Column_29,601.1536642313004
Column_35,513.2926784157753
Column_11,438.96179699897766
Column_34,367.3503856062889
Column_23,106.7803795337677
