feature,importance
Column_26,12579.325576145202
Column_18,11478.070863187313
Column_17,11306.349212288857
Column_15,9543.692407310009
Column_16,9412.934940770268
Column_25,8688.590179488063
Column_14,8262.609539926052
Column_32,7805.748049348593
Column_7,7805.158057525754
Column_36,7196.376787394285
Column_9,6477.272489771247
Column_13,6259.8392270207405
Column_37,6079.304839015007
Column_27,6021.745633147657
Column_5,5915.254226565361
Column_21,5709.384570360184
Column_6,5570.450673341751
Column_8,4862.0866312384605
Column_10,4834.6907724142075
Column_3,4189.611676752567
Column_33,4148.469269365072
Column_30,4117.510832250118
Column_4,4107.182302355766
Column_24,4083.173424243927
Column_19,3978.2424895763397
Column_0,3952.8620618209243
Column_22,3781.2474831938744
Column_28,3719.330507993698
Column_1,3556.8452858924866
Column_12,3536.6359114050865
Column_20,3351.5286819934845
Column_31,3081.123847708106
Column_35,2808.8299322724342
Column_2,2628.5451614260674
Column_29,2590.779816687107
Column_11,2168.15305352211
Column_34,1760.8804360628128
Column_23,416.9032392501831
