feature,importance
Column_18,40587.19204866886
Column_15,24116.93070101738
Column_33,14085.898225545883
Column_14,10337.26782842353
Column_36,8930.559738755226
Column_17,7989.129145920277
Column_26,7433.643944352865
Column_16,5579.406034201384
Column_7,4770.953707516193
Column_6,4547.094273626804
Column_32,4453.631783246994
Column_21,4048.8490275144577
Column_4,4047.7277204990387
Column_25,3937.254309773445
Column_37,3707.2103816866875
Column_24,3514.378447473049
Column_9,3389.8011443018913
Column_3,3108.1536668539047
Column_8,2731.167118445039
Column_12,2590.2631953954697
Column_22,2554.1102406978607
Column_27,2461.0853350907564
Column_13,2440.287191748619
Column_20,2436.0797677636147
Column_5,2302.2213454842567
Column_0,2221.2877193689346
Column_30,2184.027137428522
Column_10,2181.052159190178
Column_19,2074.544813245535
Column_2,1993.8247669637203
Column_31,1971.341594774276
Column_1,1841.1327356696129
Column_35,1573.6478283265606
Column_28,1349.3449492454529
Column_29,1294.8670126199722
Column_34,1156.9003944694996
Column_11,941.9209986627102
Column_23,369.02473068237305
