feature,importance
Column_26,1729.170100003481
Column_15,1654.5153730008751
Column_25,1439.9381102509797
Column_32,1380.7491020038724
Column_7,1340.252291738987
Column_17,1223.8802769184113
Column_16,1206.264887984842
Column_21,1200.325683885254
Column_14,1037.675044670701
Column_18,987.9270752966404
Column_10,970.3393835891038
Column_9,941.1481624171138
Column_3,922.940463334322
Column_27,899.0277597606182
Column_24,877.6366377472878
Column_5,876.1731334328651
Column_31,867.1869458444417
Column_1,796.8541572270915
Column_6,788.0940599963069
Column_35,772.7806635685265
Column_8,759.7762033343315
Column_22,717.9450112879276
Column_12,703.1714324131608
Column_0,685.6712269186974
Column_13,673.2210364192724
Column_30,656.6480297148228
Column_37,654.4407774657011
Column_20,652.3582622408867
Column_2,631.1001645848155
Column_19,612.2000228986144
Column_28,604.6344386935234
Column_29,577.4265691041946
Column_33,569.4915197491646
Column_4,555.7961717545986
Column_11,306.0873650573194
Column_34,251.24257177859545
Column_36,225.53969338536263
Column_23,14.11250525712967
