feature,importance
Column_18,72129.40825247765
Column_26,16399.523057818413
Column_36,16310.482632994652
Column_33,14813.674161195755
Column_15,14140.963374853134
Column_16,12327.622131943703
Column_14,11353.88947546482
Column_25,11338.235246658325
Column_37,11011.97132742405
Column_17,10687.883230090141
Column_32,10173.469803273678
Column_7,9300.981258153915
Column_21,8367.658924460411
Column_9,7771.117801070213
Column_27,6587.470284819603
Column_5,6556.116523146629
Column_10,6482.261730790138
Column_24,6016.527855157852
Column_13,5988.200215101242
Column_8,5974.259145498276
Column_6,5830.757794380188
Column_19,5512.941819787025
Column_0,5413.867262005806
Column_20,5060.094648718834
Column_4,4655.850554227829
Column_3,4506.142742395401
Column_31,4439.952906847
Column_12,4361.311814188957
Column_1,4315.593613982201
Column_30,4236.631011962891
Column_22,3975.794089317322
Column_35,3559.591146826744
Column_2,3489.0725746154785
Column_28,2836.827295780182
Column_11,2523.771782040596
Column_29,2379.999592065811
Column_34,1371.3716599941254
Column_23,946.3616679906845
