feature,importance
Column_32,724.0769173249719
Column_17,544.299032831681
Column_16,519.7019091933616
Column_26,476.0972616949002
Column_21,445.1868486665189
Column_7,435.76061344798654
Column_10,398.7857741220505
Column_15,377.12058508663904
Column_18,342.99740926810773
Column_9,338.12547083751997
Column_14,333.9204250562543
Column_31,328.75725052974303
Column_25,327.9946566770668
Column_6,315.35103764508676
Column_33,311.9034514995874
Column_3,295.9218091532821
Column_5,282.30206084018573
Column_20,278.5590749150724
Column_1,272.6618108339462
Column_35,259.7913274399325
Column_12,249.34941986738704
Column_27,246.27264937380096
Column_8,229.81940527632833
Column_13,224.4502367201203
Column_24,208.07364498649258
Column_29,203.23589202138828
Column_30,192.4531012296211
Column_0,191.21650833061722
Column_19,190.34600773276907
Column_4,184.77882700321788
Column_28,177.26129265711643
Column_22,166.03295984867145
Column_11,134.27212707721628
Column_2,133.34094645949153
Column_37,97.69610715238377
Column_34,82.96807997272117
Column_23,12.43766192626208
Column_36,0.0
