feature,importance
Column_33,50428.562589298
Column_18,47498.62540425826
Column_26,41589.81951344013
Column_15,39707.54323190451
Column_17,34220.99244740605
Column_25,31463.770290851593
Column_14,30340.94511772276
Column_16,28751.64767885208
Column_7,28198.577974498272
Column_36,27181.145406529307
Column_32,27162.501545250416
Column_0,25660.032481372356
Column_21,23788.73427426815
Column_5,23314.202318906784
Column_13,23237.29326173663
Column_27,23117.4124930501
Column_37,22803.920077323914
Column_9,22250.202557325363
Column_24,22244.349539995193
Column_12,20455.875892579556
Column_2,20384.207948297262
Column_10,20189.114543497562
Column_20,19845.20376610756
Column_6,18325.115603089333
Column_3,18071.712707400322
Column_8,17562.007650911808
Column_30,17079.24420261383
Column_31,16117.85013705492
Column_19,15829.446598887444
Column_1,15280.460819661617
Column_22,13577.38224619627
Column_28,13553.959541082382
Column_35,12880.263466954231
Column_29,11934.421604335308
Column_4,11733.097627520561
Column_11,9180.055262327194
Column_34,7825.702636182308
Column_23,1735.2277693748474
