feature,importance
Column_18,116282.00007107109
Column_17,64601.312979996204
Column_26,60681.69528897107
Column_15,50740.44140952267
Column_14,42525.039487183094
Column_36,39415.429028496146
Column_16,38123.52301137149
Column_32,37549.296103045344
Column_25,32870.780058801174
Column_7,32663.265657670796
Column_33,29981.594232156873
Column_9,27245.808187887073
Column_21,25810.971729315817
Column_27,25226.546882748604
Column_4,25021.590700741857
Column_2,24941.37686252594
Column_6,23444.701359808445
Column_5,21890.18076980114
Column_37,21192.214745521545
Column_10,20304.305269420147
Column_8,20262.465124428272
Column_13,18302.61758285761
Column_24,17974.41707022488
Column_0,17961.758599705994
Column_1,17924.485260784626
Column_31,17855.732135653496
Column_19,17737.021890491247
Column_20,17406.234563454986
Column_3,17004.573526337743
Column_30,16586.551229715347
Column_22,16544.005111455917
Column_12,13104.1685908176
Column_28,12522.786183163524
Column_29,11879.291835904121
Column_35,11406.273284815252
Column_34,9236.673519313335
Column_11,8719.678277395666
Column_23,810.468339920044
