feature,importance
Column_18,2766.6658327057958
Column_26,2188.3786587119102
Column_17,1770.3187150284648
Column_0,1716.3999613374472
Column_15,1677.1345028579235
Column_14,1674.4816310927272
Column_36,1502.43564106524
Column_32,1276.9443775117397
Column_16,1274.8755531609058
Column_25,1267.7481600642204
Column_7,1224.4877489507198
Column_13,1122.653604120016
Column_33,1078.7592267990112
Column_37,1074.462640196085
Column_21,957.0540409386158
Column_27,925.951581954956
Column_2,907.7909819111228
Column_5,848.6943920850754
Column_10,846.8121088892221
Column_8,823.9976785689942
Column_9,819.5818520784378
Column_3,773.5303571224213
Column_24,676.1591950058937
Column_19,662.9397341385484
Column_6,655.8342715203762
Column_30,600.0165646374226
Column_20,592.4224565625191
Column_31,579.0920189023018
Column_1,545.9576385915279
Column_28,537.466019153595
Column_35,490.6526715308428
Column_4,468.71393314003944
Column_12,466.59851664304733
Column_22,454.41863936185837
Column_11,398.2675489857793
Column_29,390.96424371004105
Column_34,348.7985389009118
Column_23,27.111095994710922
