feature,importance
Column_18,33083.38144634804
Column_26,29988.628939449787
Column_15,25619.269889563322
Column_16,24058.537543641403
Column_32,23977.643186479807
Column_17,22756.265436150134
Column_25,22536.04565475881
Column_7,21368.244589378126
Column_14,20992.892271906137
Column_21,18252.815803676844
Column_36,17827.602704443038
Column_27,17100.958017644953
Column_9,15695.239886486903
Column_24,15085.193168481812
Column_33,15055.587274715304
Column_5,14931.969728884986
Column_20,14389.165067695081
Column_10,13822.578762196004
Column_31,13552.636046028754
Column_19,13414.302451781929
Column_1,13325.412741094828
Column_13,13040.509125232697
Column_6,12948.111794263124
Column_3,12898.568838693202
Column_8,12566.440069526434
Column_35,12272.121334129944
Column_30,12177.32392980042
Column_12,11833.992065686733
Column_0,11461.924315929413
Column_22,10938.99148324877
Column_28,10415.113227725029
Column_37,10349.68390211463
Column_2,10169.531720089726
Column_29,9899.84186950326
Column_4,9732.130392208695
Column_11,7105.097532488406
Column_34,6523.490115247667
Column_23,1043.9400138258934
