feature,importance
Column_26,5144.851073414087
Column_15,4516.335867986083
Column_14,4304.116781644523
Column_16,3875.4432999277487
Column_32,3827.9833823652007
Column_18,3725.3456162922084
Column_17,3709.536644084379
Column_25,3418.1266179352533
Column_7,3397.244057431817
Column_21,3055.3730934262276
Column_9,3002.2478707432747
Column_27,2789.419056640938
Column_5,2610.9710960797966
Column_36,2484.5944258905947
Column_20,2401.157095713541
Column_3,2369.715856164694
Column_10,2290.539504364133
Column_8,2289.5182421058416
Column_24,2287.4196694791317
Column_1,2267.2440499812365
Column_33,2234.5475222005043
Column_13,2198.1583683490753
Column_31,2186.8424062356353
Column_19,2166.659168396145
Column_6,2035.8793064951897
Column_12,1873.0064114429988
Column_0,1820.9729409273714
Column_35,1777.7425762340426
Column_30,1762.0544803701341
Column_2,1611.0356502234936
Column_28,1607.6074249632657
Column_22,1586.5816208869219
Column_4,1551.8859959989786
Column_29,1532.2001226097345
Column_37,1399.4036736041307
Column_34,1236.2731263209134
Column_11,1149.8736835196614
Column_23,248.5282545685768
