feature,importance
Column_18,41045.42927360535
Column_17,10908.514316424727
Column_33,8614.798253417015
Column_36,7294.531276166439
Column_15,6924.90678447485
Column_26,6889.761097073555
Column_37,4254.805490980856
Column_32,4188.2905414416455
Column_2,3987.7812924394384
Column_7,3983.0963629856706
Column_16,3967.253153398633
Column_25,3892.768024412915
Column_6,3454.272560477257
Column_14,3296.7365661412477
Column_4,2680.50835826993
Column_21,2388.8452375531197
Column_27,2383.9974482655525
Column_9,2382.8058945015073
Column_0,2364.4084019334696
Column_22,2330.8647037148476
Column_13,2325.170272052288
Column_5,2100.99990721792
Column_8,1935.4784038364887
Column_31,1797.3913064785302
Column_30,1710.1605048179626
Column_10,1709.2066967636347
Column_3,1685.024463713169
Column_12,1635.2776728123426
Column_1,1562.6019423156977
Column_19,1533.5131741128862
Column_24,1531.9336123913527
Column_20,1391.087989717722
Column_28,1321.0826472342014
Column_35,986.4605576210888
Column_29,828.7183581739664
Column_11,674.8032300025225
Column_34,425.5157364681363
Column_23,344.51558005809784
