feature,importance
Column_21,920.8864532182924
Column_32,869.6097804575693
Column_15,858.7066742946627
Column_26,828.0102608853485
Column_9,823.1358559385408
Column_20,774.7785963712959
Column_7,771.57283172803
Column_14,727.9572972212918
Column_25,689.8702137761284
Column_35,676.2929831492365
Column_16,657.6161704063416
Column_18,650.4787390606944
Column_19,638.2901566331275
Column_27,630.5440691716503
Column_12,603.9499077643268
Column_24,588.7429987864816
Column_30,580.1289736339822
Column_1,534.092959738482
Column_17,491.33183799980907
Column_4,475.47534437663853
Column_8,469.2991657136008
Column_2,463.53564566513523
Column_13,444.18898629750765
Column_5,415.10523089952767
Column_0,402.8695315027144
Column_10,395.9730414408259
Column_3,340.22094960324466
Column_11,338.7382054668851
Column_6,331.8960573526565
Column_22,331.29209834802896
Column_33,296.59057456010487
Column_31,251.8913761107251
Column_28,235.84782927203923
Column_29,199.1277626157389
Column_37,149.20390284759924
Column_34,57.79194098315202
Column_23,25.86940179206431
Column_36,0.0
