feature,importance
Column_18,47709.44254529476
Column_33,30716.821472764015
Column_15,20401.681244134903
Column_13,20248.25487446785
Column_26,17016.756863832474
Column_36,12361.420724391937
Column_0,11968.652722001076
Column_17,10367.204929590225
Column_14,9692.913448691368
Column_25,8849.574822932482
Column_21,7029.2651262283325
Column_37,7004.931402862072
Column_24,6425.7778170108795
Column_7,5641.0478892326355
Column_16,5538.340154290199
Column_5,5427.062849998474
Column_20,4647.861419796944
Column_10,4595.706973075867
Column_2,3606.298589169979
Column_27,3512.214017033577
Column_32,3460.351338863373
Column_12,3433.3941922187805
Column_3,3392.514914751053
Column_19,3056.4654529094696
Column_9,2923.098422050476
Column_31,2875.4089861512184
Column_35,2503.423647582531
Column_6,2482.184378504753
Column_22,2357.743831753731
Column_8,2236.170375585556
Column_1,1961.7508879899979
Column_34,1957.0051536560059
Column_30,1759.8372629284859
Column_4,1405.4770579338074
Column_29,1037.5471385121346
Column_11,1005.468020439148
Column_28,770.5595754384995
Column_23,31.568140506744385
