feature,importance
Column_18,16311.434634059668
Column_33,9466.704151928425
Column_17,8246.587673068047
Column_36,5159.84365439415
Column_15,4705.346809864044
Column_26,4404.066298283637
Column_14,3501.1513565778732
Column_32,2648.223835736513
Column_0,2523.7775176763535
Column_2,2512.8271758556366
Column_16,2378.7518711686134
Column_7,2320.7661052942276
Column_6,2205.895693421364
Column_25,1925.1769663095474
Column_37,1661.7543761134148
Column_9,1629.8677895069122
Column_8,1530.6356550455093
Column_27,1452.347250699997
Column_10,1441.1457924842834
Column_21,1292.8382127285004
Column_24,1237.6073616743088
Column_3,1148.6448072195053
Column_5,1045.746122121811
Column_34,988.3475316762924
Column_4,986.6989749670029
Column_1,984.8167194128036
Column_20,975.0225939154625
Column_13,918.7954938411713
Column_22,917.9767588376999
Column_12,859.905957788229
Column_19,838.798506975174
Column_28,704.4324387311935
Column_35,677.6742507815361
Column_30,630.3652875423431
Column_31,521.3073771279305
Column_11,379.0537672638893
Column_29,255.39287173748016
Column_23,25.088430404663086
