feature,importance
Column_26,11276.564740940463
Column_15,8744.366797635332
Column_16,8511.40040547587
Column_7,7977.162176914047
Column_17,7883.1751731806435
Column_14,7338.794045679737
Column_32,7095.876471955733
Column_9,6618.109697447158
Column_18,6601.947114693932
Column_25,6401.192528221756
Column_21,5759.38599108113
Column_27,5364.159570645075
Column_5,5166.823387090117
Column_10,4384.5672620097175
Column_6,4269.032469352707
Column_1,4138.770542274462
Column_30,4087.162951835897
Column_8,4015.3739021839574
Column_20,3944.51141980011
Column_3,3895.703475574963
Column_0,3680.813930759381
Column_19,3511.845006429474
Column_24,3468.4327599348035
Column_31,3435.4633829230443
Column_13,3331.145418609027
Column_37,3323.528544832021
Column_33,3244.32047187665
Column_35,3191.5930920680985
Column_12,3109.83799542021
Column_29,2803.5018790871836
Column_2,2744.6185456132516
Column_22,2674.422176771681
Column_4,2578.1963489055634
Column_28,2523.444071039965
Column_11,1984.7335366047919
Column_34,1307.781996635429
Column_36,1160.7301801699214
Column_23,779.4518135488033
