feature,importance
Column_18,8847.176358044147
Column_15,4819.98409640789
Column_17,4388.405955761671
Column_26,3853.8848316073418
Column_14,3339.858562231064
Column_36,2741.7289976477623
Column_33,1983.678917646408
Column_25,1916.6215674877167
Column_16,1824.737264573574
Column_7,1822.8163935542107
Column_9,1681.0999686717987
Column_4,1423.9181172251701
Column_32,1414.8420114517212
Column_21,1324.686658680439
Column_27,1284.223327100277
Column_6,1262.7206892371178
Column_8,1248.8914885893464
Column_5,1233.6357624530792
Column_10,1177.574611067772
Column_37,1148.9278554320335
Column_20,1138.3261952996254
Column_0,1110.282521724701
Column_13,1041.0377020835876
Column_24,1040.7431581616402
Column_12,982.9922676682472
Column_31,941.0344676375389
Column_22,935.7171063497663
Column_28,926.0567242801189
Column_3,901.9563787030056
Column_2,883.5791776180267
Column_19,877.3064819574356
Column_1,849.9837328195572
Column_35,705.4557413458824
Column_29,674.981275677681
Column_30,670.9404408335686
Column_11,527.3204210996628
Column_34,381.1386375427246
Column_23,169.55496287345886
