feature,importance
Column_15,1090.8323016911745
Column_26,1005.1529641002417
Column_17,799.8609952777624
Column_16,784.6093285679817
Column_21,765.5572641044855
Column_32,755.0208663344383
Column_7,719.3737995475531
Column_14,689.5946664363146
Column_18,622.3883226811886
Column_5,604.2830794602633
Column_25,593.2651152163744
Column_1,556.4721423387527
Column_19,549.7049019932747
Column_9,545.7324450910091
Column_24,527.9662415832281
Column_3,527.7825739234686
Column_6,505.2834893018007
Column_12,454.22473818063736
Column_33,448.28879173099995
Column_31,441.6216943413019
Column_10,431.20178574323654
Column_8,426.8428766131401
Column_20,412.2305981218815
Column_27,406.6860266774893
Column_13,403.03187853097916
Column_35,395.72161665558815
Column_30,378.5681561678648
Column_0,347.8022687137127
Column_22,319.488785803318
Column_11,319.3777825534344
Column_37,308.24475055933
Column_28,293.91755509376526
Column_4,277.7123259007931
Column_29,274.43535190820694
Column_2,231.16423852741718
Column_34,203.2346465587616
Column_23,141.37391114234924
Column_36,96.13070076704025
