feature,importance
Column_18,21709.124434173107
Column_15,15081.22575867176
Column_26,9391.340885519981
Column_33,9323.450809963048
Column_36,8066.23679728806
Column_16,7822.389221176505
Column_14,7352.166167542338
Column_17,6930.52637629956
Column_25,6511.941235616803
Column_32,5465.184631232172
Column_21,4876.685033768415
Column_24,4824.319150872529
Column_7,4735.882268875837
Column_4,4515.490685641766
Column_3,4432.947760343552
Column_2,4129.189324647188
Column_31,3683.992357492447
Column_9,3563.638611793518
Column_27,3422.516923133284
Column_19,3418.596309363842
Column_10,3276.2149283215404
Column_5,2907.1973287314177
Column_37,2802.638248041272
Column_0,2686.92005289346
Column_8,2592.1385325193405
Column_22,2465.2265014499426
Column_6,2402.0059891939163
Column_30,2164.718969166279
Column_35,2039.2148227095604
Column_1,1984.541617333889
Column_13,1831.1830391809344
Column_20,1814.8939018249512
Column_12,1431.0069365501404
Column_29,1305.992016196251
Column_28,1244.874851346016
Column_11,1055.79884525761
Column_34,996.2359309196472
Column_23,330.2511806488037
