feature,importance
Column_18,6904.808552771807
Column_26,5152.605890870094
Column_32,4198.9246389865875
Column_16,3845.5278428792953
Column_17,3717.4075622558594
Column_25,3541.4811238348484
Column_15,3465.5110583901405
Column_13,3441.400400131941
Column_7,3399.0982813835144
Column_9,3137.7829946279526
Column_27,2717.350511536002
Column_14,2716.845233052969
Column_10,2454.63124024868
Column_36,2306.906272351742
Column_5,2128.8810163140297
Column_21,2102.895144343376
Column_19,1979.9911479949951
Column_37,1924.584670484066
Column_33,1895.3638689666986
Column_6,1849.5861732959747
Column_8,1813.936873152852
Column_3,1808.694358855486
Column_24,1745.5424954146147
Column_31,1639.9183925688267
Column_1,1604.0359546542168
Column_30,1579.8173232525587
Column_20,1524.9275010824203
Column_22,1504.5055720210075
Column_28,1416.479934334755
Column_0,1293.8179822266102
Column_35,1217.5343171060085
Column_4,1140.264890909195
Column_12,1129.055834710598
Column_2,961.1873037815094
Column_29,934.587059378624
Column_34,674.3735947012901
Column_11,469.8724632561207
Column_23,246.300558924675
