feature,importance
Column_18,48147.85588915646
Column_15,13797.397678852081
Column_33,11516.003556013107
Column_36,10318.810888051987
Column_17,8972.883629322052
Column_14,6752.175777256489
Column_6,5050.494257092476
Column_37,4321.221780538559
Column_26,4066.737249851227
Column_9,3673.0984035134315
Column_7,3150.7789890766144
Column_24,2677.2776571512222
Column_2,2650.9758216142654
Column_32,2633.7124591469765
Column_16,2596.056274652481
Column_4,2341.6149892807007
Column_0,2341.12917727232
Column_25,2130.918164372444
Column_8,1724.9254373311996
Column_22,1590.9486982822418
Column_5,1553.9865408539772
Column_12,1492.4549186229706
Column_27,1454.985774576664
Column_21,1337.6288975477219
Column_11,1287.3063080310822
Column_10,1175.6390038728714
Column_13,1020.0067622661591
Column_3,903.422037422657
Column_30,846.861074000597
Column_20,780.8762162327766
Column_31,733.3839557468891
Column_34,579.8033454418182
Column_28,464.83338260650635
Column_19,432.5354095697403
Column_29,349.93545973300934
Column_23,345.7105778455734
Column_1,329.7876696586609
Column_35,229.90790325403214
