feature,importance
Column_26,8846.563394367695
Column_17,8555.66431734492
Column_36,8010.087521791458
Column_18,6465.009374402805
Column_15,5526.687470192526
Column_37,5522.620965480804
Column_16,5354.565908074379
Column_14,5164.416820974759
Column_32,4940.705400541425
Column_21,4860.3105475177545
Column_25,4710.196760639548
Column_24,4203.991061471403
Column_33,3995.112035433678
Column_27,3966.5671431571245
Column_13,3910.402911964422
Column_7,3882.837718218565
Column_9,3866.983478613489
Column_6,3597.452232941985
Column_10,3587.2594850634923
Column_2,3541.4581081718206
Column_12,3456.0946168899536
Column_0,3441.059898391366
Column_5,3307.2108974946314
Column_19,3164.1071791797876
Column_20,3021.8314486443996
Column_8,2901.195102182217
Column_3,2657.218603000045
Column_30,2626.4501883089542
Column_28,2500.2562729641795
Column_31,2470.241592556238
Column_1,2324.563289679587
Column_29,2134.1867932081223
Column_35,2070.0450739711523
Column_22,1872.3377502411604
Column_4,1739.2110853843624
Column_11,1275.3275080025196
Column_34,1237.5379086434841
Column_23,208.00916957855225
