feature,importance
Column_30,551.8705827817321
Column_7,377.31714842119254
Column_6,369.6973874270916
Column_38,340.8598443865776
Column_21,339.8464451022446
Column_16,326.7793836388737
Column_17,273.5060168309137
Column_25,241.80543199181557
Column_19,241.59377671248512
Column_29,234.01335444301367
Column_0,230.46587598323822
Column_27,229.98492331057787
Column_39,225.90858856588602
Column_23,215.92932917922735
Column_28,214.14224011823535
Column_35,180.1663041524589
Column_50,176.8434612005949
Column_18,164.3673055563122
Column_49,161.78911131620407
Column_3,161.44534345716238
Column_14,160.52051298320293
Column_22,158.09631127864122
Column_37,157.53406847640872
Column_2,151.26687356829643
Column_11,149.94385050432174
Column_24,145.7999400384724
Column_43,143.42705097049475
Column_8,141.89948093146086
Column_47,139.48449065349996
Column_41,136.16950512863696
Column_1,126.527826808393
Column_46,125.52084182202816
Column_26,123.61704809963703
Column_31,118.14652722193568
Column_15,117.14846152067184
Column_36,115.0604579821229
Column_33,114.87972221896052
Column_5,109.10460133105516
Column_34,105.04985559731722
Column_13,104.43396056443453
Column_12,102.43837072700262
Column_42,93.643017180264
Column_20,92.61658657342196
Column_48,80.55695125460625
Column_32,75.14309274964035
Column_4,68.4198562502861
Column_9,68.1346335336566
Column_45,60.207179486751556
Column_10,54.013924119994044
Column_40,44.658344116061926
Column_51,8.238166987895966
Column_44,0.0
Column_52,0.0
Column_53,0.0
Column_54,0.0
Column_55,0.0
