trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-18 05:45,2017-08-18 11:45,4313.56,4340.31,0.6201,12.40,360.0,L1,"EMA new down line (2 bars, P&L=+0.62%)",11
2,SHORT,2017-08-18 13:00,2017-08-18 16:30,4307.17,4266.70,0.9396,18.79,210.0,L1,"SL L1 hit (close $4,273.78)",7
3,SHORT,2017-08-18 18:00,2017-08-18 22:15,4174.00,4094.00,1.9166,38.33,255.0,L5,"SL L5 hit (close $4,061.18)",16
4,SHORT,2017-08-19 05:30,2017-08-19 08:30,4082.00,4014.47,1.6543,33.09,180.0,L2,"EMA new up line (3 bars, P&L=+1.65%)",12
5,SHORT,2017-08-19 08:45,2017-08-19 12:30,3999.00,4082.00,-2.0755,-41.51,225.0,L1,Hard stop -2.1%,9
6,LONG,2017-08-19 12:45,2017-08-19 15:45,4095.00,3972.05,-3.0024,-60.05,180.0,L1,Hard stop -3.0%,15
7,SHORT,2017-08-19 16:00,2017-08-19 21:15,4049.69,4149.98,-2.4765,-49.53,315.0,L1,Hard stop -2.5%,8
8,SHORT,2017-08-20 04:00,2017-08-20 07:00,4094.62,4081.40,0.3229,6.45,180.0,L1,"EMA new up line (2 bars, P&L=+0.32%)",6
9,LONG,2017-08-20 08:30,2017-08-20 11:30,4188.96,4091.87,-2.3178,-46.34,180.0,L1,Hard stop -2.3%,19
10,LONG,2017-08-20 15:15,2017-08-20 20:30,4114.40,4135.54,0.5138,10.27,315.0,L1,"SL L1 hit (close $4,137.18)",8
11,LONG,2017-08-21 04:45,2017-08-21 06:00,4104.68,3971.38,-3.2475,-64.90,75.0,L1,Emergency stop -3.2%,6
12,SHORT,2017-08-21 07:00,2017-08-21 10:00,3983.20,4075.00,-2.3047,-46.03,180.0,L1,Hard stop -2.3%,15
13,SHORT,2017-08-21 11:15,2017-08-21 14:45,4010.78,3989.17,0.5388,10.76,210.0,L1,"SL L1 hit (close $4,022.00)",6
14,LONG,2017-08-21 18:45,2017-08-21 23:30,3918.80,4010.00,2.3272,46.46,285.0,L3,"SL L3 hit (close $4,016.00)",5
15,LONG,2017-08-22 06:30,2017-08-22 12:00,3839.30,3869.47,0.7858,15.70,330.0,L2,"EMA new down line (2 bars, P&L=+0.79%)",12
16,SHORT,2017-08-22 13:30,2017-08-22 18:00,3890.27,3965.28,-1.9281,-38.52,270.0,L1,Hard stop -1.9%,5
17,LONG,2017-08-22 18:30,2017-08-22 21:30,4045.22,3946.67,-2.4362,-48.65,180.0,L1,Hard stop -2.4%,16
