trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 12:50,2017-08-17 16:55,4411.00,4354.18,1.2881,25.76,245.0,L3,"EMA new up line (2 bars, P&L=+1.29%)",13
2,SHORT,2017-08-17 17:20,2017-08-17 18:20,4318.21,4302.45,0.3650,7.30,60.0,L3,"SL L3 hit (close $4,302.15)",7
3,SHORT,2017-08-17 18:50,2017-08-17 20:50,4254.96,4341.30,-2.0292,-40.58,120.0,L1,Hard stop -2.0%,13
4,LONG,2017-08-18 04:00,2017-08-18 04:35,4269.26,4271.02,0.0412,0.82,35.0,L1,"EMA new down line (6 bars, P&L=+0.04%)",7
5,LONG,2017-08-18 04:45,2017-08-18 05:55,4285.99,4313.56,0.6433,12.86,70.0,L1,"EMA new down line (2 bars, P&L=+0.64%)",9
6,SHORT,2017-08-18 06:40,2017-08-18 10:35,4265.41,4368.68,-2.4211,-48.42,235.0,L1,Hard stop -2.4%,11
7,SHORT,2017-08-18 11:20,2017-08-18 13:45,4330.00,4287.09,0.9910,19.81,145.0,L4,"SL L4 hit (close $4,293.65)",7
8,SHORT,2017-08-18 14:10,2017-08-18 15:05,4272.92,4256.97,0.3733,7.46,55.0,L1,"EMA new up line (2 bars, P&L=+0.37%)",11
9,SHORT,2017-08-18 15:30,2017-08-18 17:45,4229.86,4161.59,1.6140,32.28,135.0,L5,"SL L5 hit (close $4,158.56)",7
10,SHORT,2017-08-18 18:10,2017-08-18 19:30,4174.00,4106.36,1.6205,32.41,80.0,L5,"SL L5 hit (close $4,066.21)",12
11,LONG,2017-08-19 04:10,2017-08-19 04:35,4156.00,4057.96,-2.3590,-47.18,25.0,L1,Hard stop -2.4%,10
12,SHORT,2017-08-19 05:25,2017-08-19 07:10,4047.71,3999.14,1.1999,24.00,105.0,L4,"SL L4 hit (close $3,986.87)",11
