trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 12:50,2017-08-17 16:55,4411.00,4354.18,1.2881,25.76,245.0,L3,"EMA new up line (2 bars, P&L=+1.29%)",14
2,SHORT,2017-08-17 17:55,2017-08-17 19:10,4289.24,4281.87,0.1718,3.44,75.0,L4,"SL L4 hit (close $4,242.53)",13
3,LONG,2017-08-18 04:00,2017-08-18 05:50,4269.26,4288.21,0.4439,8.88,110.0,L3,"SL L3 hit (close $4,289.88)",7
4,LONG,2017-08-18 07:35,2017-08-18 08:45,4301.56,4270.02,-0.7332,-14.66,70.0,L1,"SL L1 hit (close $4,286.08)",5
5,SHORT,2017-08-18 09:45,2017-08-18 10:45,4276.89,4332.20,-1.2932,-25.86,60.0,L1,"SL L1 hit (close $4,371.42)",10
6,SHORT,2017-08-18 12:10,2017-08-18 13:45,4338.80,4287.09,1.1918,23.84,95.0,L4,"SL L4 hit (close $4,293.65)",4
7,SHORT,2017-08-18 14:55,2017-08-18 16:15,4259.40,4268.52,-0.2141,-4.28,80.0,L1,"SL L1 hit (close $4,249.51)",8
8,SHORT,2017-08-18 17:15,2017-08-18 19:30,4231.86,4106.36,2.9656,59.31,135.0,L7,"SL L7 hit (close $4,066.21)",11
9,LONG,2017-08-19 04:05,2017-08-19 05:25,4156.00,4047.71,-2.6056,-52.11,80.0,L1,Hard stop -2.6%,4
10,SHORT,2017-08-19 06:45,2017-08-19 07:45,4033.47,4005.97,0.6818,13.64,60.0,L1,"EMA new up line (3 bars, P&L=+0.68%)",13
11,SHORT,2017-08-19 08:50,2017-08-19 09:50,3965.08,4068.20,-2.6007,-52.01,60.0,L1,Hard stop -2.6%,14
12,SHORT,2017-08-19 11:30,2017-08-19 12:35,3972.12,4046.83,-1.8809,-37.61,65.0,L1,Hard stop -1.9%,13
13,LONG,2017-08-19 13:35,2017-08-19 15:25,4095.74,4016.96,-1.9235,-38.45,110.0,L1,Hard stop -1.9%,12
14,LONG,2017-08-19 16:25,2017-08-19 19:50,4049.69,4076.12,0.6526,13.04,205.0,L1,"SL L1 hit (close $4,076.12)",12
15,SHORT,2017-08-20 05:45,2017-08-20 07:10,4095.39,4081.40,0.3416,6.83,85.0,L1,"EMA new up line (6 bars, P&L=+0.34%)",10
16,LONG,2017-08-20 08:50,2017-08-20 11:15,4184.73,4104.35,-1.9208,-38.39,145.0,L1,Hard stop -1.9%,15
17,LONG,2017-08-20 12:15,2017-08-20 13:40,4111.66,4114.40,0.0666,1.33,85.0,L1,"SL L1 hit (close $4,114.40)",7
18,LONG,2017-08-20 16:10,2017-08-20 17:55,4128.11,4129.00,0.0216,0.43,105.0,L1,"SL L1 hit (close $4,116.29)",15
19,SHORT,2017-08-21 04:00,2017-08-21 06:40,4047.75,3987.89,1.4788,29.55,160.0,L4,"SL L4 hit (close $4,003.11)",9
20,LONG,2017-08-21 07:45,2017-08-21 09:30,4043.63,4075.00,0.7758,15.50,105.0,L1,"SL L1 hit (close $4,035.82)",14
21,SHORT,2017-08-21 11:15,2017-08-21 12:35,4058.00,4012.50,1.1212,22.41,80.0,L1,"EMA new up line (2 bars, P&L=+1.12%)",12
22,LONG,2017-08-21 14:50,2017-08-21 15:50,3958.35,4020.00,1.5575,31.14,60.0,L3,"EMA new down line (3 bars, P&L=+1.56%)",8
23,SHORT,2017-08-21 17:15,2017-08-21 18:30,4016.01,4016.51,-0.0125,-0.25,75.0,L1,"SL L1 hit (close $4,027.00)",6
24,LONG,2017-08-22 05:20,2017-08-22 05:45,3680.00,3400.00,-7.6087,-152.16,25.0,L1,Emergency stop -7.6%,6
25,SHORT,2017-08-22 07:05,2017-08-22 09:10,3744.25,3855.34,-2.9669,-59.24,125.0,L1,Hard stop -3.0%,6
26,SHORT,2017-08-22 10:10,2017-08-22 11:15,3870.27,3853.54,0.4323,8.63,65.0,L1,"EMA new up line (2 bars, P&L=+0.43%)",4
27,LONG,2017-08-22 12:25,2017-08-22 14:25,3920.31,3786.81,-3.4053,-67.96,120.0,L1,Hard stop -3.4%,12
28,LONG,2017-08-22 15:25,2017-08-22 16:50,3874.41,3905.84,0.8112,16.18,85.0,L4,"SL L4 hit (close $3,905.84)",8
29,SHORT,2017-08-22 17:50,2017-08-22 18:20,3938.41,4067.00,-3.2650,-65.13,30.0,L1,Emergency stop -3.3%,8
30,LONG,2017-08-23 04:00,2017-08-23 10:40,4100.42,4195.00,2.3066,45.98,400.0,L5,"SL L5 hit (close $4,195.00)",6
31,LONG,2017-08-23 11:40,2017-08-23 12:50,4202.01,4214.80,0.3044,6.07,70.0,L1,"EMA new down line (2 bars, P&L=+0.30%)",5
32,SHORT,2017-08-23 13:50,2017-08-23 15:30,4170.19,4216.81,-1.1179,-22.30,100.0,L1,"SL L1 hit (close $4,196.42)",12
33,SHORT,2017-08-23 17:10,2017-08-23 19:10,4204.68,4143.36,1.4584,29.08,120.0,L2,"SL L2 hit (close $4,165.99)",9
34,LONG,2017-08-24 05:10,2017-08-24 06:10,4140.76,4148.34,0.1831,3.65,60.0,L1,"EMA new down line (3 bars, P&L=+0.18%)",7
35,LONG,2017-08-24 08:25,2017-08-24 09:35,4186.88,4170.00,-0.4032,-8.04,70.0,L1,"SL L1 hit (close $4,169.18)",13
