trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 13:00,2017-08-17 16:55,4430.00,4354.18,1.7115,34.23,235.0,L4,"EMA new up line (2 bars, P&L=+1.71%)",7
2,LONG,2017-08-17 17:15,2017-08-17 18:40,4322.23,4237.85,-1.9522,-39.04,85.0,L1,Hard stop -2.0%,5
3,LONG,2017-08-17 19:15,2017-08-17 20:15,4266.00,4302.77,0.8619,17.24,60.0,L1,"EMA new down line (2 bars, P&L=+0.86%)",7
4,LONG,2017-08-17 21:50,2017-08-18 00:50,4349.63,4251.95,-2.2457,-44.91,180.0,L1,Hard stop -2.2%,7
5,LONG,2017-08-18 01:45,2017-08-18 02:45,4238.89,4267.59,0.6771,13.54,60.0,L1,"EMA new down line (3 bars, P&L=+0.68%)",4
6,LONG,2017-08-18 03:00,2017-08-18 05:55,4278.05,4313.56,0.8301,16.60,175.0,L1,"EMA new down line (2 bars, P&L=+0.83%)",7
7,LONG,2017-08-18 07:35,2017-08-18 08:45,4301.56,4270.02,-0.7332,-14.66,70.0,L1,"SL L1 hit (close $4,286.08)",5
8,LONG,2017-08-18 09:15,2017-08-18 11:25,4307.00,4330.00,0.5340,10.68,130.0,L1,"SL L1 hit (close $4,330.00)",7
9,SHORT,2017-08-18 11:35,2017-08-18 12:40,4343.23,4331.71,0.2652,5.30,65.0,L1,"EMA new up line (5 bars, P&L=+0.27%)",7
10,SHORT,2017-08-18 12:55,2017-08-18 14:00,4331.71,4293.05,0.8925,17.85,65.0,L1,"EMA new up line (2 bars, P&L=+0.89%)",7
11,LONG,2017-08-18 15:00,2017-08-18 17:00,4255.00,4240.73,-0.3354,-6.71,120.0,L1,"SL L1 hit (close $4,250.34)",4
12,LONG,2017-08-18 17:55,2017-08-18 18:55,4193.35,4117.41,-1.8110,-36.22,60.0,L1,Hard stop -1.8%,4
13,LONG,2017-08-18 19:30,2017-08-18 20:30,4106.36,3999.00,-2.6145,-52.28,60.0,L1,Hard stop -2.6%,5
14,SHORT,2017-08-19 02:00,2017-08-19 03:55,4149.49,4138.55,0.2636,5.27,115.0,L1,"EMA new up line (2 bars, P&L=+0.26%)",7
