trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2017-08-17 12:50,2017-08-17 14:30,4411.00,4484.00,-1.6550,-33.10,100.0,L1,Hard stop -1.7%,14
2,LONG,2017-08-17 14:40,2017-08-17 15:35,4477.53,4377.54,-2.2332,-44.65,55.0,L1,Hard stop -2.2%,11
3,SHORT,2017-08-17 15:45,2017-08-17 16:55,4423.63,4354.18,1.5700,31.38,70.0,L3,"EMA new up line (2 bars, P&L=+1.57%)",15
4,SHORT,2017-08-17 17:20,2017-08-17 18:20,4318.21,4302.45,0.3650,7.30,60.0,L3,"SL L3 hit (close $4,302.15)",8
5,SHORT,2017-08-17 18:50,2017-08-17 19:40,4254.96,4327.25,-1.6990,-33.97,50.0,L1,Hard stop -1.7%,13
6,LONG,2017-08-18 04:00,2017-08-18 04:35,4269.26,4271.02,0.0412,0.82,35.0,L1,"EMA new down line (6 bars, P&L=+0.04%)",7
7,LONG,2017-08-18 04:45,2017-08-18 05:55,4285.99,4313.56,0.6433,12.86,70.0,L1,"EMA new down line (2 bars, P&L=+0.64%)",10
8,SHORT,2017-08-18 06:40,2017-08-18 09:40,4265.41,4300.00,-0.8109,-16.21,180.0,L1,"Time exit (180min, P&L=-0.81%)",10
9,SHORT,2017-08-18 09:50,2017-08-18 10:40,4304.15,4371.42,-1.5629,-31.23,50.0,L1,Hard stop -1.6%,8
10,SHORT,2017-08-18 11:20,2017-08-18 13:45,4330.00,4287.09,0.9910,19.80,145.0,L4,"SL L4 hit (close $4,293.65)",7
11,SHORT,2017-08-18 14:10,2017-08-18 15:05,4272.92,4256.97,0.3733,7.46,55.0,L1,"EMA new up line (2 bars, P&L=+0.37%)",12
12,SHORT,2017-08-18 15:20,2017-08-18 17:45,4225.84,4161.59,1.5204,30.38,145.0,L5,"SL L5 hit (close $4,158.56)",7
13,SHORT,2017-08-18 18:10,2017-08-18 19:30,4174.00,4106.36,1.6205,32.39,80.0,L5,"SL L5 hit (close $4,066.21)",12
14,LONG,2017-08-19 04:10,2017-08-19 04:35,4156.00,4057.96,-2.3590,-47.17,25.0,L1,Hard stop -2.4%,9
15,SHORT,2017-08-19 05:25,2017-08-19 07:10,4047.71,3999.14,1.1999,23.98,105.0,L4,"SL L4 hit (close $3,986.87)",11
16,LONG,2017-08-19 07:40,2017-08-19 08:35,4005.97,4013.89,0.1977,3.95,55.0,L1,"SL L1 hit (close $4,013.89)",8
17,SHORT,2017-08-19 08:50,2017-08-19 09:15,3965.08,4035.00,-1.7634,-35.26,25.0,L1,Hard stop -1.8%,14
18,LONG,2017-08-19 09:25,2017-08-19 10:05,4021.04,4054.00,0.8197,16.38,40.0,L3,"SL L3 hit (close $4,054.00)",9
19,SHORT,2017-08-19 10:20,2017-08-19 12:15,4033.51,3945.12,2.1914,43.80,115.0,L4,"SL L4 hit (close $3,968.35)",9
20,LONG,2017-08-19 12:45,2017-08-19 13:30,4095.00,4099.78,0.1167,2.33,45.0,L1,"EMA new down line (5 bars, P&L=+0.12%)",18
21,LONG,2017-08-19 13:40,2017-08-19 15:35,4066.21,3995.63,-1.7358,-34.71,115.0,L1,Hard stop -1.7%,8
22,LONG,2017-08-19 16:10,2017-08-19 16:40,4049.69,3953.41,-2.3775,-47.53,30.0,L1,Hard stop -2.4%,12
23,SHORT,2017-08-19 16:50,2017-08-19 17:30,3988.59,4048.99,-1.5143,-30.26,40.0,L1,Hard stop -1.5%,12
24,LONG,2017-08-19 17:40,2017-08-19 19:50,4027.37,4076.12,1.2105,24.18,130.0,L3,"SL L3 hit (close $4,076.12)",10
25,LONG,2017-08-20 05:20,2017-08-20 08:10,4125.02,4155.87,0.7479,14.94,170.0,L1,"SL L1 hit (close $4,118.33)",13
26,LONG,2017-08-20 08:50,2017-08-20 11:00,4184.73,4111.00,-1.7619,-35.21,130.0,L1,Hard stop -1.8%,15
27,LONG,2017-08-20 12:15,2017-08-20 13:40,4111.66,4114.40,0.0666,1.33,85.0,L1,"SL L1 hit (close $4,114.40)",7
28,SHORT,2017-08-20 13:55,2017-08-20 15:55,4063.35,4125.00,-1.5172,-30.31,120.0,L1,Hard stop -1.5%,15
29,LONG,2017-08-20 16:10,2017-08-20 16:50,4128.11,4133.87,0.1395,2.79,40.0,L1,"EMA new down line (6 bars, P&L=+0.14%)",15
30,LONG,2017-08-20 17:00,2017-08-20 17:55,4117.41,4129.00,0.2815,5.62,55.0,L1,"SL L1 hit (close $4,116.29)",8
31,SHORT,2017-08-21 04:00,2017-08-21 06:40,4047.75,3987.89,1.4788,29.54,160.0,L4,"SL L4 hit (close $4,003.11)",9
32,LONG,2017-08-21 07:25,2017-08-21 08:25,4033.22,4035.00,0.0441,0.88,60.0,L1,"SL L1 hit (close $4,010.79)",8
33,LONG,2017-08-21 09:15,2017-08-21 11:15,4077.07,4058.00,-0.4677,-9.34,120.0,L1,"SL L1 hit (close $4,060.00)",17
34,SHORT,2017-08-21 11:25,2017-08-21 13:15,4010.78,3997.24,0.3376,6.74,110.0,L1,"SL L1 hit (close $4,023.11)",13
35,LONG,2017-08-21 14:50,2017-08-21 15:45,3958.35,3997.25,0.9827,19.63,55.0,L1,"SL L1 hit (close $3,972.50)",8
36,LONG,2017-08-21 15:55,2017-08-21 16:15,4022.00,4026.04,0.1004,2.01,20.0,L1,"EMA new down line (3 bars, P&L=+0.10%)",11
37,SHORT,2017-08-21 17:20,2017-08-21 18:30,4016.00,4016.51,-0.0127,-0.25,70.0,L1,"SL L1 hit (close $4,027.00)",8
38,LONG,2017-08-22 05:25,2017-08-22 05:45,3690.00,3400.00,-7.8591,-157.04,20.0,L1,Hard stop -7.9%,11
39,SHORT,2017-08-22 05:55,2017-08-22 06:15,3626.99,3769.98,-3.9424,-78.65,20.0,L1,Hard stop -3.9%,11
40,SHORT,2017-08-22 07:10,2017-08-22 07:55,3738.05,3798.08,-1.6059,-32.01,45.0,L1,Hard stop -1.6%,9
