trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,SHORT,2026-03-08 04:50,2026-03-08 05:15,66626.99,67020.73,-0.5910,-11.82,25.0,L1,"SL L1 hit (close $66,978.72)",12
2,LONG,2026-03-08 05:25,2026-03-08 09:55,67126.61,67681.00,0.8259,16.52,270.0,L3,"SL L3 hit (close $67,688.45)",11
3,LONG,2026-03-08 10:45,2026-03-08 11:15,67899.24,67616.85,-0.4159,-8.32,30.0,L1,"SL L1 hit (close $67,556.63)",6
4,SHORT,2026-03-08 11:30,2026-03-08 12:30,67604.76,67314.26,0.4297,8.59,60.0,L3,"SL L3 hit (close $67,431.46)",13
5,SHORT,2026-03-08 13:10,2026-03-08 14:20,66974.10,67399.82,-0.6356,-12.71,70.0,L1,"SL L1 hit (close $67,376.88)",14
6,LONG,2026-03-08 15:15,2026-03-08 16:35,67359.75,66936.62,-0.6282,-12.56,80.0,L1,"SL L1 hit (close $66,935.11)",7
7,LONG,2026-03-08 17:05,2026-03-08 18:50,67145.94,66833.71,-0.4650,-9.30,105.0,L1,"SL L1 hit (close $66,753.82)",7
8,LONG,2026-03-09 04:20,2026-03-09 06:10,67373.71,67626.61,0.3754,7.51,110.0,L3,"SL L3 hit (close $67,641.87)",8
9,SHORT,2026-03-09 06:20,2026-03-09 07:35,67577.11,67384.22,0.2854,5.71,75.0,L3,"SL L3 hit (close $67,294.84)",9
10,LONG,2026-03-09 07:45,2026-03-09 09:10,67475.18,67833.03,0.5303,10.61,85.0,L3,"SL L3 hit (close $67,656.48)",14
11,LONG,2026-03-09 09:35,2026-03-09 10:20,68294.53,67887.51,-0.5960,-11.92,45.0,L1,"SL L1 hit (close $67,859.77)",16
12,SHORT,2026-03-09 10:30,2026-03-09 12:05,67831.92,67849.84,-0.0264,-0.53,95.0,L2,"SL L2 hit (close $67,879.57)",8
13,LONG,2026-03-09 12:40,2026-03-09 13:55,68130.35,68976.00,1.2412,24.82,75.0,L5,"SL L5 hit (close $68,888.60)",14
14,LONG,2026-03-09 14:55,2026-03-09 17:30,69151.50,68617.02,-0.7729,-15.46,155.0,L1,"SL L1 hit (close $68,624.06)",5
15,LONG,2026-03-09 18:25,2026-03-09 19:40,68541.72,68963.53,0.6154,12.31,75.0,L4,"SL L4 hit (close $69,070.40)",4
16,LONG,2026-03-10 04:45,2026-03-10 05:45,69960.01,69939.01,-0.0300,-0.60,60.0,L2,"SL L2 hit (close $69,915.41)",11
17,SHORT,2026-03-10 06:05,2026-03-10 07:20,69935.43,70404.66,-0.6709,-13.42,75.0,L1,"SL L1 hit (close $70,390.99)",7
18,LONG,2026-03-10 07:50,2026-03-10 08:55,70390.67,70709.37,0.4528,9.05,65.0,L3,"SL L3 hit (close $70,699.99)",9
