trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-18 05:00,2017-08-18 09:00,302.37,303.22,0.2811,5.62,240.0,L2,SL L2 hit (close $304.23),6
2,SHORT,2017-08-18 09:15,2017-08-18 16:30,305.91,300.81,1.6672,33.34,435.0,L3,SL L3 hit (close $300.99),9
3,SHORT,2017-08-18 18:45,2017-08-18 22:30,289.75,292.17,-0.8352,-16.70,225.0,L1,SL L1 hit (close $292.91),18
4,SHORT,2017-08-19 04:00,2017-08-19 09:45,297.19,290.30,2.3184,46.37,345.0,L3,SL L3 hit (close $293.17),8
5,SHORT,2017-08-19 11:30,2017-08-19 12:30,279.50,289.15,-3.4526,-69.05,60.0,L1,Emergency stop -3.5%,16
6,LONG,2017-08-19 12:45,2017-08-19 15:45,290.85,288.64,-0.7598,-15.20,180.0,L1,SL L1 hit (close $284.25),12
7,SHORT,2017-08-19 16:45,2017-08-19 18:15,286.14,295.00,-3.0964,-61.92,90.0,L1,Emergency stop -3.1%,4
8,LONG,2017-08-19 18:30,2017-08-20 00:15,295.00,286.91,-2.7424,-54.80,345.0,L1,Hard stop -2.7%,16
9,LONG,2017-08-20 05:30,2017-08-20 10:45,292.17,295.51,1.1432,22.83,315.0,L1,SL L1 hit (close $294.27),14
10,LONG,2017-08-20 13:00,2017-08-20 17:15,292.28,296.78,1.5396,30.76,255.0,L1,SL L1 hit (close $293.63),9
11,LONG,2017-08-21 04:00,2017-08-21 09:00,301.85,314.98,4.3498,86.93,300.0,L6,SL L6 hit (close $318.72),14
12,SHORT,2017-08-21 10:00,2017-08-21 13:00,322.08,333.33,-3.4929,-69.86,180.0,L1,Hard stop -3.5%,7
13,LONG,2017-08-21 14:15,2017-08-21 18:00,334.75,330.32,-1.3234,-26.45,225.0,L1,SL L1 hit (close $332.33),17
