trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 18:30,309.72,301.97,-2.5023,-50.05,370.0,L1,Hard stop -2.5%,7
2,SHORT,2017-08-18 04:25,2017-08-18 05:30,298.94,305.08,-2.0539,-41.06,65.0,L1,Hard stop -2.1%,14
3,LONG,2017-08-18 06:00,2017-08-18 06:30,304.55,305.18,0.2069,4.13,30.0,L1,"EMA new down line (2 bars, P&L=+0.21%)",9
4,LONG,2017-08-18 07:20,2017-08-18 08:00,308.79,309.49,0.2267,4.53,40.0,L1,"EMA new down line (2 bars, P&L=+0.23%)",13
5,SHORT,2017-08-18 08:40,2017-08-18 09:35,308.49,307.72,0.2496,4.99,55.0,L1,"EMA new up line (2 bars, P&L=+0.25%)",8
6,SHORT,2017-08-18 09:45,2017-08-18 10:40,303.65,310.01,-2.0945,-41.86,55.0,L1,Hard stop -2.1%,12
7,LONG,2017-08-18 10:50,2017-08-18 11:30,308.88,310.05,0.3788,7.57,40.0,L1,"EMA new down line (2 bars, P&L=+0.38%)",13
8,SHORT,2017-08-18 11:55,2017-08-18 12:30,307.78,306.47,0.4256,8.50,35.0,L1,"EMA new up line (3 bars, P&L=+0.43%)",9
9,SHORT,2017-08-18 12:40,2017-08-18 13:05,309.45,308.47,0.3167,6.33,25.0,L1,"EMA new up line (2 bars, P&L=+0.32%)",8
10,SHORT,2017-08-18 13:20,2017-08-18 14:50,303.88,299.99,1.2801,25.58,90.0,L3,SL L3 hit (close $299.99),12
11,SHORT,2017-08-18 15:20,2017-08-18 17:50,297.91,296.21,0.5706,11.40,150.0,L3,SL L3 hit (close $296.21),8
12,LONG,2017-08-18 18:25,2017-08-18 18:55,297.00,289.75,-2.4411,-48.79,30.0,L1,Hard stop -2.4%,8
13,LONG,2017-08-19 04:10,2017-08-19 06:30,297.19,289.97,-2.4294,-48.54,140.0,L1,Hard stop -2.4%,9
14,SHORT,2017-08-19 06:40,2017-08-19 07:15,292.17,289.84,0.7975,15.92,35.0,L2,SL L2 hit (close $292.17),9
15,LONG,2017-08-19 09:20,2017-08-19 10:05,290.04,290.97,0.3206,6.40,45.0,L1,"EMA new down line (2 bars, P&L=+0.32%)",8
16,SHORT,2017-08-19 10:15,2017-08-19 11:25,289.16,285.47,1.2761,25.49,70.0,L1,"EMA new up line (2 bars, P&L=+1.28%)",8
17,SHORT,2017-08-19 11:50,2017-08-19 12:30,278.00,284.40,-2.3022,-45.99,40.0,L1,Hard stop -2.3%,17
18,SHORT,2017-08-19 13:30,2017-08-19 14:30,286.59,287.06,-0.1640,-3.27,60.0,L1,SL L1 hit (close $287.06),7
19,LONG,2017-08-19 14:40,2017-08-19 17:25,288.62,288.66,0.0139,0.28,165.0,L1,"EMA new down line (6 bars, P&L=+0.01%)",12
20,LONG,2017-08-19 17:35,2017-08-19 18:15,290.46,294.14,1.2670,25.30,40.0,L2,"EMA new down line (2 bars, P&L=+1.27%)",12
21,LONG,2017-08-19 18:55,2017-08-19 20:15,295.00,288.92,-2.0610,-41.17,80.0,L1,Hard stop -2.1%,10
22,LONG,2017-08-20 04:05,2017-08-20 06:40,292.41,293.14,0.2496,4.98,155.0,L1,"EMA new down line (2 bars, P&L=+0.25%)",7
23,LONG,2017-08-20 07:20,2017-08-20 08:15,293.15,286.57,-2.2446,-44.82,55.0,L1,Hard stop -2.2%,8
24,LONG,2017-08-20 08:45,2017-08-20 10:45,295.98,296.00,0.0068,0.13,120.0,L1,"EMA new down line (2 bars, P&L=+0.01%)",9
25,SHORT,2017-08-20 11:50,2017-08-20 13:10,294.62,292.28,0.7942,15.85,80.0,L1,"EMA new up line (5 bars, P&L=+0.79%)",7
26,SHORT,2017-08-20 13:20,2017-08-20 18:00,292.28,299.44,-2.4497,-48.90,280.0,L1,Hard stop -2.4%,12
27,LONG,2017-08-20 18:10,2017-08-20 23:20,298.57,299.35,0.2612,5.21,310.0,L1,"EMA new down line (2 bars, P&L=+0.26%)",13
28,LONG,2017-08-21 04:00,2017-08-21 05:50,299.85,311.70,3.9520,78.85,110.0,L5,SL L5 hit (close $309.23),10
29,LONG,2017-08-21 06:45,2017-08-21 07:35,318.45,315.41,-0.9546,-19.06,50.0,L1,SL L1 hit (close $317.67),13
30,LONG,2017-08-21 08:30,2017-08-21 09:10,323.29,314.98,-2.5704,-51.32,40.0,L1,Hard stop -2.6%,10
31,LONG,2017-08-21 10:05,2017-08-21 11:30,320.25,318.41,-0.5746,-11.46,85.0,L2,SL L2 hit (close $314.97),14
32,SHORT,2017-08-21 11:40,2017-08-21 11:45,313.23,329.31,-5.1336,-102.42,5.0,L1,Hard stop -5.1%,14
33,LONG,2017-08-21 11:55,2017-08-21 14:05,331.53,336.47,1.4901,29.70,130.0,L6,SL L6 hit (close $337.66),11
34,SHORT,2017-08-21 15:30,2017-08-21 17:05,332.33,340.43,-2.4373,-48.59,95.0,L1,Hard stop -2.4%,10
35,LONG,2017-08-21 17:15,2017-08-21 17:50,341.37,333.63,-2.2673,-45.18,35.0,L1,Hard stop -2.3%,15
36,LONG,2017-08-22 04:05,2017-08-22 04:55,304.00,287.00,-5.5921,-111.38,50.0,L1,Hard stop -5.6%,7
37,SHORT,2017-08-22 05:15,2017-08-22 05:20,289.99,303.00,-4.4864,-89.26,5.0,L1,Hard stop -4.5%,17
38,LONG,2017-08-22 05:30,2017-08-22 05:35,300.61,281.20,-6.4569,-128.35,5.0,L1,Hard stop -6.5%,9
39,SHORT,2017-08-22 05:50,2017-08-22 06:05,279.96,302.99,-8.2262,-163.31,15.0,L1,Hard stop -8.2%,15
40,LONG,2017-08-22 06:20,2017-08-22 07:10,303.00,300.23,-0.9142,-18.12,50.0,L4,SL L4 hit (close $300.02),13
41,SHORT,2017-08-22 07:25,2017-08-22 09:10,297.76,305.37,-2.5557,-50.64,105.0,L1,Hard stop -2.6%,12
42,LONG,2017-08-22 09:25,2017-08-22 11:00,309.24,309.93,0.2231,4.42,95.0,L1,"EMA new down line (2 bars, P&L=+0.22%)",17
43,SHORT,2017-08-22 12:00,2017-08-22 13:00,308.03,306.66,0.4448,8.81,60.0,L1,"EMA new up line (4 bars, P&L=+0.44%)",8
44,LONG,2017-08-22 17:30,2017-08-22 18:20,312.40,313.97,0.5026,9.95,50.0,L1,"EMA new down line (6 bars, P&L=+0.50%)",8
45,LONG,2017-08-23 04:00,2017-08-23 04:55,319.29,323.00,1.1620,23.02,55.0,L3,SL L3 hit (close $320.00),10
46,SHORT,2017-08-23 05:25,2017-08-23 09:05,316.51,322.90,-2.0189,-40.00,220.0,L1,Hard stop -2.0%,13
47,LONG,2017-08-23 09:15,2017-08-23 10:05,320.74,321.82,0.3367,6.67,50.0,L1,"EMA new down line (5 bars, P&L=+0.34%)",7
48,LONG,2017-08-23 12:10,2017-08-23 12:40,321.29,313.75,-2.3468,-46.49,30.0,L1,Hard stop -2.3%,7
49,SHORT,2017-08-23 12:50,2017-08-23 13:55,317.18,316.00,0.3720,7.37,65.0,L1,SL L1 hit (close $317.65),8
50,LONG,2017-08-23 17:10,2017-08-23 17:35,319.21,319.69,0.1504,2.98,25.0,L1,"EMA new down line (3 bars, P&L=+0.15%)",13
51,LONG,2017-08-24 05:25,2017-08-24 06:00,319.27,319.57,0.0940,1.86,35.0,L1,"EMA new down line (2 bars, P&L=+0.09%)",9
52,LONG,2017-08-24 06:30,2017-08-24 06:55,319.58,320.53,0.2973,5.89,25.0,L1,"EMA new down line (3 bars, P&L=+0.30%)",9
53,LONG,2017-08-24 09:00,2017-08-24 10:05,320.84,321.28,0.1371,2.72,65.0,L1,"EMA new down line (4 bars, P&L=+0.14%)",8
54,SHORT,2017-08-24 11:15,2017-08-24 11:55,316.14,323.61,-2.3629,-46.79,40.0,L1,Hard stop -2.4%,10
55,SHORT,2017-08-24 13:05,2017-08-24 14:05,319.39,326.79,-2.3169,-45.86,60.0,L1,Hard stop -2.3%,7
56,SHORT,2017-08-24 16:45,2017-08-24 17:05,322.68,319.97,0.8398,16.62,20.0,L1,"EMA new up line (4 bars, P&L=+0.84%)",7
57,SHORT,2017-08-24 17:15,2017-08-24 19:35,318.97,325.35,-2.0002,-39.58,140.0,L1,Hard stop -2.0%,8
58,LONG,2017-08-25 04:20,2017-08-25 04:45,327.70,330.32,0.7995,15.81,25.0,L1,"EMA new down line (2 bars, P&L=+0.80%)",8
59,LONG,2017-08-25 05:20,2017-08-25 06:00,331.68,332.90,0.3678,7.28,40.0,L1,"EMA new down line (2 bars, P&L=+0.37%)",13
60,LONG,2017-08-25 07:20,2017-08-25 07:40,331.78,333.20,0.4280,8.47,20.0,L1,"EMA new down line (2 bars, P&L=+0.43%)",10
61,SHORT,2017-08-25 08:30,2017-08-25 11:45,330.39,327.40,0.9050,17.91,195.0,L1,SL L1 hit (close $331.34),7
62,SHORT,2017-08-25 14:45,2017-08-25 21:00,330.68,327.79,0.8740,17.30,375.0,L2,SL L2 hit (close $330.98),7
63,LONG,2017-08-26 05:45,2017-08-26 06:25,326.78,327.00,0.0673,1.33,40.0,L1,"EMA new down line (3 bars, P&L=+0.07%)",10
64,LONG,2017-08-26 07:40,2017-08-26 09:15,327.69,328.21,0.1587,3.14,95.0,L1,"EMA new down line (2 bars, P&L=+0.16%)",10
65,SHORT,2017-08-26 09:30,2017-08-26 13:50,327.06,329.82,-0.8439,-16.70,260.0,L1,SL L1 hit (close $328.69),9
66,LONG,2017-08-26 14:00,2017-08-26 14:40,330.98,334.00,0.9124,18.06,40.0,L2,SL L2 hit (close $329.93),15
67,SHORT,2017-08-26 15:35,2017-08-26 17:00,327.76,328.55,-0.2410,-4.77,85.0,L1,SL L1 hit (close $330.38),9
68,SHORT,2017-08-26 18:35,2017-08-27 00:45,328.28,335.00,-2.0470,-40.52,370.0,L1,Hard stop -2.0%,8
69,LONG,2017-08-27 07:15,2017-08-27 07:35,332.78,332.80,0.0060,0.12,20.0,L1,"EMA new down line (4 bars, P&L=+0.01%)",9
70,SHORT,2017-08-27 07:55,2017-08-27 08:20,332.77,332.10,0.2013,3.98,25.0,L1,"EMA new up line (4 bars, P&L=+0.20%)",9
71,SHORT,2017-08-27 08:40,2017-08-27 09:10,331.62,331.61,0.0030,0.06,30.0,L1,"EMA new up line (4 bars, P&L=+0.00%)",8
72,SHORT,2017-08-27 09:20,2017-08-27 10:55,330.73,337.53,-2.0561,-40.68,95.0,L1,Hard stop -2.1%,10
73,LONG,2017-08-27 12:50,2017-08-27 18:20,336.89,339.17,0.6768,13.39,330.0,L1,SL L1 hit (close $336.12),9
