trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 18:30,309.72,301.97,-2.5023,-50.05,370.0,L1,Hard stop -2.5%,7
2,LONG,2017-08-18 04:40,2017-08-18 06:30,302.00,305.18,1.0530,21.05,110.0,L2,SL L2 hit (close $303.21),6
3,SHORT,2017-08-18 07:40,2017-08-18 09:35,308.20,307.72,0.1557,3.11,115.0,L1,"EMA new up line (2 bars, P&L=+0.16%)",6
4,SHORT,2017-08-18 10:00,2017-08-18 14:50,305.81,299.99,1.9031,38.05,290.0,L4,SL L4 hit (close $299.99),5
5,SHORT,2017-08-18 15:25,2017-08-18 17:45,299.45,296.21,1.0820,21.64,140.0,L4,SL L4 hit (close $295.60),5
6,SHORT,2017-08-18 18:35,2017-08-18 19:45,297.00,293.43,1.2020,24.04,70.0,L2,"EMA new up line (2 bars, P&L=+1.20%)",5
7,LONG,2017-08-19 04:25,2017-08-19 06:00,294.21,295.56,0.4589,9.18,95.0,L1,"EMA new down line (6 bars, P&L=+0.46%)",7
8,LONG,2017-08-19 06:10,2017-08-19 10:40,294.33,285.15,-3.1189,-62.38,270.0,L1,Hard stop -3.1%,6
9,SHORT,2017-08-19 13:30,2017-08-19 14:55,286.59,283.00,1.2527,25.05,85.0,L2,"EMA new up line (6 bars, P&L=+1.25%)",7
10,SHORT,2017-08-19 15:45,2017-08-19 17:30,286.56,288.66,-0.7328,-14.66,105.0,L1,SL L1 hit (close $288.66),7
11,SHORT,2017-08-19 18:15,2017-08-19 20:25,294.14,290.53,1.2273,24.55,130.0,L3,SL L3 hit (close $290.53),5
12,LONG,2017-08-20 04:00,2017-08-20 06:40,292.41,293.14,0.2496,4.99,160.0,L1,"EMA new down line (2 bars, P&L=+0.25%)",6
13,LONG,2017-08-20 07:30,2017-08-20 09:10,290.50,295.96,1.8795,37.59,100.0,L3,SL L3 hit (close $292.59),5
14,SHORT,2017-08-20 10:45,2017-08-20 12:05,296.00,295.47,0.1791,3.58,80.0,L1,SL L1 hit (close $295.46),7
15,LONG,2017-08-20 12:30,2017-08-20 16:25,295.49,295.22,-0.0914,-1.83,235.0,L1,SL L1 hit (close $294.23),7
16,LONG,2017-08-20 16:35,2017-08-20 17:45,295.23,295.87,0.2168,4.34,70.0,L1,SL L1 hit (close $294.72),5
17,SHORT,2017-08-20 18:50,2017-08-20 19:55,298.57,297.88,0.2311,4.62,65.0,L1,"EMA new up line (4 bars, P&L=+0.23%)",4
18,SHORT,2017-08-21 06:55,2017-08-21 08:30,321.79,323.29,-0.4661,-9.32,95.0,L3,SL L3 hit (close $323.16),4
19,LONG,2017-08-21 08:50,2017-08-21 10:40,317.95,321.29,1.0505,21.01,110.0,L2,SL L2 hit (close $316.77),6
20,SHORT,2017-08-21 12:45,2017-08-21 13:40,330.31,342.71,-3.7540,-75.08,55.0,L1,Emergency stop -3.8%,5
21,SHORT,2017-08-21 14:10,2017-08-21 15:35,343.46,333.02,3.0397,60.79,85.0,L5,SL L5 hit (close $332.33),7
22,LONG,2017-08-21 16:15,2017-08-21 17:40,335.34,335.34,0.0000,0.00,85.0,L2,SL L2 hit (close $337.35),6
23,LONG,2017-08-21 18:30,2017-08-21 18:55,333.06,316.82,-4.8760,-97.52,25.0,L1,Emergency stop -4.9%,4
24,SHORT,2017-08-22 04:25,2017-08-22 05:30,302.98,300.61,0.7822,15.64,65.0,L1,"EMA new up line (2 bars, P&L=+0.78%)",4
25,SHORT,2017-08-22 07:10,2017-08-22 09:05,300.23,302.05,-0.6062,-12.12,115.0,L1,SL L1 hit (close $301.09),6
26,SHORT,2017-08-22 10:55,2017-08-22 12:50,310.24,309.00,0.3997,7.99,115.0,L1,"EMA new up line (2 bars, P&L=+0.40%)",4
27,LONG,2017-08-22 14:45,2017-08-22 17:35,306.84,312.00,1.6817,33.63,170.0,L5,SL L5 hit (close $312.40),4
28,LONG,2017-08-22 18:30,2017-08-22 20:05,314.18,305.66,-2.7118,-54.24,95.0,L1,Hard stop -2.7%,4
29,SHORT,2017-08-23 05:45,2017-08-23 07:25,319.24,318.04,0.3759,7.52,100.0,L1,"EMA new up line (3 bars, P&L=+0.38%)",6
30,SHORT,2017-08-23 07:55,2017-08-23 13:55,319.06,316.00,0.9591,19.18,360.0,L1,SL L1 hit (close $317.65),4
31,LONG,2017-08-23 14:20,2017-08-23 15:20,316.20,317.50,0.4111,8.22,60.0,L1,"EMA new down line (2 bars, P&L=+0.41%)",5
32,LONG,2017-08-23 16:00,2017-08-23 17:30,317.87,317.19,-0.2139,-4.28,90.0,L1,SL L1 hit (close $317.19),6
33,LONG,2017-08-23 17:40,2017-08-23 19:00,318.37,321.20,0.8889,17.78,80.0,L1,"EMA new down line (3 bars, P&L=+0.89%)",6
34,LONG,2017-08-24 05:35,2017-08-24 06:55,317.66,320.53,0.9035,18.07,80.0,L1,"EMA new down line (3 bars, P&L=+0.90%)",7
