trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 16:00,309.72,303.90,-1.8791,-37.58,220.0,L1,Hard stop -1.9%,5
2,LONG,2017-08-17 17:25,2017-08-17 18:30,308.33,301.97,-2.0627,-41.24,65.0,L1,Hard stop -2.1%,7
3,SHORT,2017-08-17 19:25,2017-08-17 20:55,308.71,304.79,1.2698,25.38,90.0,L3,SL L3 hit (close $304.79),7
4,LONG,2017-08-17 21:05,2017-08-17 22:30,304.56,310.39,1.9142,38.26,85.0,L3,SL L3 hit (close $305.62),6
5,LONG,2017-08-17 23:50,2017-08-18 01:05,302.00,301.19,-0.2682,-5.36,75.0,L1,SL L1 hit (close $300.08),4
6,LONG,2017-08-18 01:55,2017-08-18 03:25,298.73,301.21,0.8302,16.60,90.0,L4,SL L4 hit (close $301.63),6
7,SHORT,2017-08-18 04:30,2017-08-18 07:15,302.51,308.79,-2.0760,-41.52,165.0,L1,Hard stop -2.1%,7
8,LONG,2017-08-18 09:35,2017-08-18 11:25,307.72,308.50,0.2535,5.07,110.0,L2,SL L2 hit (close $307.54),4
9,SHORT,2017-08-18 12:00,2017-08-18 13:15,307.78,305.48,0.7473,14.94,75.0,L1,"EMA new up line (4 bars, P&L=+0.75%)",7
10,SHORT,2017-08-18 16:00,2017-08-18 17:50,298.80,296.21,0.8668,17.33,110.0,L3,SL L3 hit (close $296.21),7
11,LONG,2017-08-18 18:25,2017-08-18 19:25,297.00,292.08,-1.6566,-33.13,60.0,L1,SL L1 hit (close $290.42),6
12,LONG,2017-08-18 20:05,2017-08-18 21:10,293.17,287.37,-1.9784,-39.55,65.0,L1,Hard stop -2.0%,5
13,LONG,2017-08-18 23:35,2017-08-19 01:45,292.66,296.79,1.4112,28.20,130.0,L2,"EMA new down line (2 bars, P&L=+1.41%)",4
14,LONG,2017-08-19 02:00,2017-08-19 03:15,297.19,295.17,-0.6797,-13.59,75.0,L1,SL L1 hit (close $295.82),4
