trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_usd,duration_min,max_sl_level,exit_reason,entry_score
1,LONG,2017-08-17 12:20,2017-08-17 16:00,309.72,303.90,-1.8791,-37.58,220.0,L1,Hard stop -1.9%,7
2,SHORT,2017-08-17 16:50,2017-08-17 18:05,303.72,310.19,-2.1303,-42.59,75.0,L1,Hard stop -2.1%,7
3,LONG,2017-08-17 18:15,2017-08-17 19:15,308.58,305.68,-0.9398,-18.78,60.0,L1,SL L1 hit (close $302.22),7
4,LONG,2017-08-18 04:40,2017-08-18 06:30,302.00,305.18,1.0530,21.04,110.0,L2,SL L2 hit (close $303.21),6
5,SHORT,2017-08-18 07:40,2017-08-18 09:35,308.20,307.72,0.1557,3.11,115.0,L1,"EMA new up line (2 bars, P&L=+0.16%)",6
6,SHORT,2017-08-18 10:00,2017-08-18 11:15,305.81,311.52,-1.8672,-37.32,75.0,L1,Hard stop -1.9%,5
7,SHORT,2017-08-18 11:25,2017-08-18 12:30,308.50,306.47,0.6580,13.15,65.0,L1,"EMA new up line (3 bars, P&L=+0.66%)",6
8,SHORT,2017-08-18 15:25,2017-08-18 17:45,299.45,296.21,1.0820,21.62,140.0,L4,SL L4 hit (close $295.60),6
9,LONG,2017-08-18 18:30,2017-08-18 20:30,294.12,288.49,-1.9142,-38.25,120.0,L1,Hard stop -1.9%,7
10,LONG,2017-08-19 04:25,2017-08-19 06:00,294.21,295.56,0.4589,9.17,95.0,L1,"EMA new down line (6 bars, P&L=+0.46%)",7
11,LONG,2017-08-19 06:10,2017-08-19 07:30,294.33,288.91,-1.8415,-36.79,80.0,L1,Hard stop -1.8%,6
12,LONG,2017-08-19 08:00,2017-08-19 10:00,290.16,290.96,0.2757,5.51,120.0,L2,SL L2 hit (close $290.30),5
13,SHORT,2017-08-19 10:15,2017-08-19 11:25,289.16,285.47,1.2761,25.49,70.0,L1,"EMA new up line (2 bars, P&L=+1.28%)",7
14,SHORT,2017-08-19 13:35,2017-08-19 14:55,288.38,283.00,1.8656,37.27,80.0,L3,"EMA new up line (6 bars, P&L=+1.87%)",7
15,SHORT,2017-08-19 15:45,2017-08-19 17:30,286.56,288.66,-0.7328,-14.65,105.0,L1,SL L1 hit (close $288.66),6
16,LONG,2017-08-20 04:00,2017-08-20 06:40,292.41,293.14,0.2496,4.99,160.0,L1,"EMA new down line (2 bars, P&L=+0.25%)",6
17,LONG,2017-08-20 07:30,2017-08-20 09:10,290.50,295.96,1.8795,37.56,100.0,L3,SL L3 hit (close $292.59),5
18,SHORT,2017-08-20 10:45,2017-08-20 12:05,296.00,295.47,0.1791,3.58,80.0,L1,SL L1 hit (close $295.46),7
19,LONG,2017-08-20 14:00,2017-08-20 16:10,293.41,295.23,0.6203,12.40,130.0,L3,SL L3 hit (close $295.23),4
20,SHORT,2017-08-20 16:20,2017-08-20 23:35,294.23,300.08,-1.9882,-39.75,435.0,L1,Hard stop -2.0%,6
21,LONG,2017-08-21 08:50,2017-08-21 10:40,317.95,321.29,1.0505,20.99,110.0,L2,SL L2 hit (close $316.77),6
22,SHORT,2017-08-21 11:30,2017-08-21 11:45,318.41,329.31,-3.4233,-68.43,15.0,L1,Emergency stop -3.4%,7
23,SHORT,2017-08-21 12:45,2017-08-21 13:40,330.31,342.71,-3.7540,-74.99,55.0,L1,Emergency stop -3.8%,5
24,SHORT,2017-08-21 14:10,2017-08-21 15:35,343.46,333.02,3.0397,60.68,85.0,L5,SL L5 hit (close $332.33),6
25,LONG,2017-08-21 16:15,2017-08-21 17:40,335.34,335.34,0.0000,0.00,85.0,L2,SL L2 hit (close $337.35),6
26,LONG,2017-08-21 18:30,2017-08-21 18:55,333.06,316.82,-4.8760,-97.39,25.0,L1,Emergency stop -4.9%,4
27,LONG,2017-08-22 04:05,2017-08-22 04:55,304.00,287.00,-5.5921,-111.58,50.0,L1,Emergency stop -5.6%,5
28,SHORT,2017-08-22 07:10,2017-08-22 09:05,300.23,302.05,-0.6062,-12.08,115.0,L1,SL L1 hit (close $301.09),7
29,SHORT,2017-08-22 10:55,2017-08-22 12:50,310.24,309.00,0.3997,7.97,115.0,L1,"EMA new up line (2 bars, P&L=+0.40%)",4
30,LONG,2017-08-22 14:45,2017-08-22 17:35,306.84,312.00,1.6817,33.52,170.0,L5,SL L5 hit (close $312.40),4
